popularity,vote_average,vote_count,original_title,release_year,release_month,release_day,release_weekday,is_weekend_release,years_since_release,overview_length,title_length,vote_power,rating_power
72.167,8.57,12750,7134.0,1974,12,20,4,0,49,222,21,81.01533786903195,81.01533786903195
70.884,8.567,16197,5891.0,1993,12,15,2,0,30,163,16,83.03687306768215,83.03687306768215
52.787,8.5,8936,26.0,1957,4,10,2,0,66,332,12,77.33261955174183,77.33261955174183
68.842,8.5,16879,9195.0,2001,7,20,4,0,22,201,8,82.73802052927456,82.73802052927456
37.701,8.5,4466,8997.0,1995,10,20,4,0,28,385,28,71.43801473149301,71.43801473149301
67.502,8.506,17872,7175.0,1999,12,10,4,0,24,303,14,83.28264130095737,83.28264130095737
85.663,8.5,28396,5485.0,1994,9,10,5,1,29,239,12,87.15932967051812,87.15932967051812
70.724,8.487,11623,9202.0,2016,8,26,4,0,7,279,5,79.44534049095776,79.44534049095776
76.902,8.5,27918,2524.0,1994,6,23,3,0,29,238,12,87.01503328673572,87.01503328673572
54.225,8.5,8837,3270.0,1966,12,22,3,0,57,225,31,77.23793502837083,77.23793502837083
29.586,8.458,3812,9147.0,1954,4,26,0,0,69,261,4,69.74611905327527,69.74611905327527
55.851,8.5,13158,2780.0,1990,9,12,2,0,33,203,10,80.62132032027618,80.62132032027618
0.063,8.452,5755,9288.0,1988,4,16,5,1,35,337,5,73.17739967079734,73.17739967079734
50.537,8.446,13223,3924.0,1997,12,20,5,1,26,320,15,80.15075484922426,80.15075484922426
87.801,8.437,29930,2430.0,1999,10,15,4,0,24,295,10,86.95720614771409,86.95720614771409
26.374,8.4,4473,5010.0,1988,11,17,3,0,35,159,21,70.61072039322063,70.61072039322063
35.383,8.427,7534,1485.0,2002,8,30,4,0,21,297,14,75.23047601390765,75.23047601390765
34.818,8.4,10239,5481.0,1960,6,22,2,0,63,216,6,77.5660779481854,77.5660779481854
8.705,8.416,397,1634.0,2021,6,17,3,0,2,131,16,50.38198007647383,50.38198007647383
10.547,8.416,1139,5018.0,2000,9,15,4,0,23,263,21,59.23840228432597,59.23840228432597
36.66,8.416,5510,5076.0,1984,5,23,2,0,39,183,27,72.49964356260132,72.49964356260132
17.507,8.414,1040,9160.0,1962,9,15,5,1,61,568,2,58.45994249532635,58.45994249532635
38.224,8.4,10633,5085.0,1975,11,19,2,0,48,210,31,77.88321823013997,77.88321823013997
8.227,8.413,2416,2649.0,2020,5,29,4,0,3,249,17,65.53964566885841,65.53964566885841
79.997,8.401,22297,7467.0,2002,12,18,2,0,21,558,37,84.11293129781846,84.11293129781846
59.492,8.399,10132,9106.0,2004,9,9,3,0,19,202,7,77.46861915626242,77.46861915626242
76.389,8.397,15945,6275.0,2018,12,6,3,0,5,458,33,81.25746077184532,81.25746077184532
31.272,8.4,17221,7010.0,1980,5,20,1,0,43,362,23,81.93312048815133,81.93312048815133
5.107,8.383,1518,2650.0,2020,7,31,4,0,3,317,26,61.41224429426036,61.41224429426036
43.608,8.4,4039,9262.0,2016,9,17,5,1,7,449,6,69.75359975602365,69.75359975602365
24.114,8.38,300,4329.0,2020,10,19,0,0,3,159,37,47.82558401859558,47.82558401859558
20.309,8.4,443,5550.0,2023,10,19,3,0,0,238,7,51.20492632443069,51.20492632443069
52.173,8.4,9366,7682.0,2002,9,17,1,0,21,356,11,76.8175644869567,76.8175644869567
14.308,8.378,1057,2651.0,2020,11,19,3,0,3,157,27,58.345528160840054,58.345528160840054
11.51,8.377,326,5441.0,2019,11,21,3,0,4,187,25,48.5024963516063,48.5024963516063
14.352,8.4,756,9428.0,2013,10,2,2,0,10,145,2,55.68665132887457,55.68665132887457
95.787,8.4,15431,8695.0,2014,10,10,4,0,9,130,8,81.01126785851875,81.01126785851875
69.253,8.4,21454,5930.0,1995,9,22,4,0,28,389,5,83.77918917837526,83.77918917837526
17.184,8.4,379,9316.0,2019,8,27,1,0,4,508,5,49.89743852285163,49.89743852285163
34.002,8.3,6606,5595.0,1954,8,1,6,1,69,136,11,73.00584526784806,73.00584526784806
13.301,8.345,16606,7863.0,1991,2,14,3,0,32,402,24,81.09320153006537,81.09320153006537
11.231,8.3,398,9200.0,2016,2,20,5,1,7,439,3,49.70837976018587,49.70837976018587
13.85,8.339,950,9220.0,1963,3,1,4,0,60,158,5,57.184809767566016,57.184809767566016
26.459,8.3,11740,467.0,1998,7,1,2,0,25,503,18,77.77799082963075,77.77799082963075
35.723,8.3,8190,9039.0,1997,7,12,5,1,26,324,5,74.7895675369795,74.7895675369795
20.515,8.317,405,9261.0,2022,5,20,4,0,1,399,9,49.95483922840761,49.95483922840761
72.481,8.3,20296,737.0,1985,7,3,2,0,38,327,18,82.3212954781183,82.3212954781183
13.6,8.3,331,9293.0,1991,7,27,5,1,32,84,9,48.182620242006855,48.182620242006855
14.328,8.31,1176,9301.0,1952,10,9,3,0,71,179,3,58.7577173313329,58.7577173313329
47.287,8.304,11513,1804.0,1989,6,2,4,0,34,221,18,77.65335268731772,77.65335268731772
46.437,8.303,15041,4339.0,1994,9,14,2,0,29,313,4,79.86324881400886,79.86324881400886
35.305,8.3,2741,5173.0,1998,2,28,5,1,25,168,12,65.70647573901476,65.70647573901476
20.686,8.301,3420,7159.0,1940,10,15,1,0,83,126,18,67.55094962349911,67.55094962349911
16.237,8.3,2635,6448.0,1950,8,10,3,0,73,109,16,65.37924853366592,65.37924853366592
18.157,8.297,488,9068.0,2020,12,25,4,0,3,267,9,51.37803157517302,51.37803157517302
17.473,8.3,367,5075.0,2023,9,24,6,1,0,142,18,49.03708838680213,49.03708838680213
0.016,8.3,1124,9338.0,2011,9,17,5,1,12,236,5,58.31196801149973,58.31196801149973
13.995,8.3,394,9260.0,2020,8,22,5,1,3,135,6,49.62475184867932,49.62475184867932
55.86,8.3,4444,1285.0,1968,12,21,5,1,55,183,23,69.71614172796843,69.71614172796843
14.095,8.282,3746,4662.0,1936,2,5,2,0,87,180,12,68.15018283560931,68.15018283560931
35.486,8.279,1651,9251.0,1997,7,19,5,1,26,428,27,61.34525363783596,61.34525363783596
9.43,8.3,398,6571.0,2018,12,31,0,0,5,141,37,49.70837976018587,49.70837976018587
11.63,8.3,577,1286.0,1974,12,21,5,1,49,136,21,52.78446310998074,52.78446310998074
50.526,8.273,17461,3417.0,2011,11,2,2,0,12,154,12,80.80886355007723,80.80886355007723
13.183,8.274,2217,1497.0,1931,2,6,4,0,92,153,11,63.74588430328992,63.74588430328992
39.082,8.273,8382,590.0,1979,5,19,5,1,44,333,14,74.73796038412898,74.73796038412898
30.827,8.3,4443,3460.0,1946,12,20,4,0,77,323,21,69.71427425130402,69.71427425130402
17.728,8.259,2979,5244.0,1957,10,25,4,0,66,123,14,66.06934538808596,66.06934538808596
19.917,8.3,4435,128.0,2019,10,10,3,0,4,150,19,69.69931929230314,69.69931929230314
13.638,8.3,2283,3890.0,1998,10,28,2,0,25,395,36,64.18957363743998,64.18957363743998
20.59,8.268,422,9176.0,2020,9,18,4,0,3,149,20,49.99967317635463,49.99967317635463
50.837,8.253,8871,9444.0,2003,11,21,4,0,20,123,4,75.02518008108626,75.02518008108626
13.591,8.2,1012,1527.0,2020,10,9,4,0,3,214,6,56.7495063348392,56.7495063348392
