popularity,vote_average,vote_count,original_title,release_year,release_month,release_day,release_weekday,is_weekend_release,years_since_release,overview_length,title_length,vote_power,rating_power
8.038,6.803,447,3729.0,2017,9,8,4,0,6,352,10,41.53090836011914,41.53090836011914
8.431,6.1,466,1709.0,2011,11,10,3,0,12,90,10,37.49260847178027,37.49260847178027
12.809,8.22,1221,8764.0,2020,10,26,0,0,3,364,11,58.42976682859327,58.42976682859327
8.327,6.292,521,3865.0,1997,4,1,1,0,26,161,22,39.373244462957565,39.373244462957565
24.705,6.531,1681,3711.0,1997,9,29,0,0,26,341,14,48.51056236752033,48.51056236752033
13.233,5.336,1222,6550.0,2014,7,2,2,0,9,446,5,37.93395555602675,37.93395555602675
9.984,7.0,1318,3794.0,2020,12,9,2,0,3,408,42,50.2924040690212,50.2924040690212
21.535,7.302,2074,1789.0,1993,9,24,4,0,30,307,18,55.77060539131836,55.77060539131836
6.6,7.077,1168,3891.0,2002,12,13,4,0,21,200,30,49.99124833533782,49.99124833533782
10.76,7.8,858,8401.0,2017,1,18,2,0,6,682,16,52.69499759147719,52.69499759147719
6.649,4.8,468,6268.0,1997,12,18,3,0,26,155,11,29.52289328854214,29.52289328854214
15.321,7.59,1557,8399.0,2009,8,26,2,0,14,386,11,55.79529093860896,55.79529093860896
5.744,6.8,331,8648.0,2008,12,10,2,0,15,142,14,39.47491778863212,39.47491778863212
56.511,7.2,5711,7720.0,2009,12,8,1,0,14,192,25,62.28233642893982,62.28233642893982
12.169,7.3,778,1987.0,1995,3,24,4,0,28,419,17,48.60348063485646,48.60348063485646
10.358,6.5,2277,428.0,2017,12,21,3,0,6,185,26,50.25184543604632,50.25184543604632
18.026,7.5,1454,4009.0,1988,5,10,1,0,35,843,13,54.62070884704195,54.62070884704195
15.617,6.447,698,7864.0,2020,7,18,5,1,3,179,13,42.225598335181374,42.225598335181374
26.897,6.0,1536,7307.0,2007,8,17,4,0,16,451,12,44.02552646123158,44.02552646123158
11.415,5.609,1685,8837.0,2017,6,19,0,0,6,237,10,41.67551020319314,41.67551020319314
15.575,6.178,823,1088.0,2002,8,9,4,0,21,160,10,41.48014553378072,41.48014553378072
23.626,6.427,3777,1837.0,2022,2,9,2,0,1,203,17,52.93887795889097,52.93887795889097
17.514,6.992,923,3628.0,2015,1,13,1,0,8,596,34,47.74635480491865,47.74635480491865
6.563,6.845,329,9278.0,2018,9,21,4,0,5,203,4,39.69478921978229,39.69478921978229
9.089,6.8,499,420.0,2011,1,1,5,1,12,306,17,42.2593350692709,42.2593350692709
14.962,7.8,879,9196.0,2002,9,14,5,1,21,353,4,52.88339087828356,52.88339087828356
25.297,6.319,4107,5705.0,2013,9,2,0,0,10,471,7,52.57845003745515,52.57845003745515
11.475,7.2,357,5979.0,1996,11,6,2,0,27,213,10,42.33983750208505,42.33983750208505
16.333,6.716,392,8335.0,1988,8,12,4,0,35,227,29,40.12010535331396,40.12010535331396
15.976,6.227,991,2478.0,1980,9,1,0,0,43,136,12,42.964575789062906,42.964575789062906
70.631,8.1,10136,8871.0,2021,3,18,3,0,2,231,28,74.71397374059744,74.71397374059744
15.136,5.3,1025,6394.0,1992,2,21,4,0,31,300,26,36.74714203637279,36.74714203637279
85.964,7.7,15784,999.0,2014,10,24,4,0,9,164,10,74.43447858763912,74.43447858763912
17.202,5.8,2613,696.0,2020,7,2,3,0,3,96,3,45.63809398626817,45.63809398626817
11.722,6.5,868,2053.0,2002,2,22,4,0,21,99,9,43.98773031422505,43.98773031422505
15.598,7.4,616,6008.0,1953,4,23,3,0,70,133,5,47.544030776899874,47.544030776899874
13.67,8.1,1835,2026.0,1944,7,6,3,0,79,126,16,60.87429102656153,60.87429102656153
91.586,6.682,634,6430.0,2024,8,15,3,0,-1,213,12,43.12312224260097,43.12312224260097
